openarenaG_800x600                          106
openarenaG_1024x768                         146
openarenaG_1920x1080                          305
openarenaG_2560x1440                           84
urbanterrorG_800x600                           35
urbanterrorG_1024x768                          42
urbanterrorG_1920x1080                          70
urbanterrorG_2560x1440                          30
unigine-valley_800x600                          232
unigine-valley_1024x768                          243
unigine-valley_1920x1080                         418
unigine-valley_2560x1440                          656
unigine-heaven_800x600                          312
unigine-heaven_1024x768                          315
unigine-heaven_1920x1080                         438
unigine-heaven_2560x1440                          720
glmark2_800x600                         332
glmark2_1024x768                         332
glmark2_1920x1080                         332
glmark2_2560x1440                         332
qgears_-image                          162
qgears_-render                         155
qgears_TEXT                          104
qgears_GEARSFANCY                         155
qgears_COMPO                          16
jxrend                          20
nexuiz_800x600                           24
nexuiz_1024x768                          30
nexuiz_1920x1080                          52
nexuiz_2560x1440                          52
xonotic_800x600                          886
xonotic_1024x768                         885
xonotic_1920x1080                          886
xonotic_2560x1440                          886
paraview_manyspheres                          362
paraview_waveletcontour                          779
paraview_waveletvolume                          31
indigobench_supercar                           61
indigobench_bedroom                           62
j2dbench_all                          361
j2dbench_images                          105
j2dbench_graphics                          245
j2dbench_text                          14
mkl-dnn_rnn_training                          37,9534 +- 0,0330 seconds time elapsed  ( +-  0,09% )
node-express-loadtest                           10,201 +- 0,182 seconds time elapsed  ( +-  1,78% )
numenta-nab                          572,823 +- 0,759 seconds time elapsed  ( +-  0,13% )
phpbench                          15,5818 +- 0,0535 seconds time elapsed  ( +-  0,34% )
primesieve                          52,4829 +- 0,0426 seconds time elapsed  ( +-  0,08% )
pymongo                           38,356 +- 0,337 seconds time elapsed  ( +-  0,88% )
rbenchmark                           25,181 +- 0,152 seconds time elapsed  ( +-  0,60% )
redis_get                           13,636 +- 0,319 seconds time elapsed  ( +-  2,34% )
redis_set                           13,601 +- 0,333 seconds time elapsed  ( +-  2,45% )
redis_lpush                           13,605 +- 0,246 seconds time elapsed  ( +-  1,81% )
redis_lpop                           13,218 +- 0,258 seconds time elapsed  ( +-  1,95% )
redis_sadd                         12,88501 +- 0,00869 seconds time elapsed  ( +-  0,07% )
rust-prime                         24,39938 +- 0,00909 seconds time elapsed  ( +-  0,04% )
scikit                           45,874 +- 0,357 seconds time elapsed  ( +-  0,78% )
stress-ng_vecmath                          18,9530 +- 0,0132 seconds time elapsed  ( +-  0,07% )
stress-ng_matrix                           13,964 +- 0,271 seconds time elapsed  ( +-  1,94% )
stress-ng_fork                          22,7373 +- 0,0489 seconds time elapsed  ( +-  0,22% )
stress-ng_msg                          13,5864 +- 0,0933 seconds time elapsed  ( +-  0,69% )
stress-ng_sem                          17,8340 +- 0,0374 seconds time elapsed  ( +-  0,21% )
stress-ng_sock                           28,043 +- 0,249 seconds time elapsed  ( +-  0,89% )
stress-ng_switch                           21,877 +- 0,167 seconds time elapsed  ( +-  0,76% )
stream                         65,39623 +- 0,00262 seconds time elapsed  ( +-  0,00% )
swet                          14,2151 +- 0,0161 seconds time elapsed  ( +-  0,11% )
t-test1                          7,25345 +- 0,00976 seconds time elapsed  ( +-  0,13% )
tensorflow                            64,21 +- 4,79 seconds time elapsed  ( +-  7,46% )
tinymembench                           264,49 +- 3,96 seconds time elapsed  ( +-  1,50% )
ttsiod-renderer                          50,3433 +- 0,0469 seconds time elapsed  ( +-  0,09% )
xsbench                          81,0583 +- 0,0957 seconds time elapsed  ( +-  0,12% )
ramspeed_copy_int                         140,8889 +- 0,0152 seconds time elapsed  ( +-  0,01% )
ramspeed_scale_int                         140,9004 +- 0,0162 seconds time elapsed  ( +-  0,01% )
ramspeed_add_int                         140,8830 +- 0,0192 seconds time elapsed  ( +-  0,01% )
ramspeed_triad_int                         140,8688 +- 0,0122 seconds time elapsed  ( +-  0,01% )
ramspeed_copy_float                        140,65125 +- 0,00442 seconds time elapsed  ( +-  0,00% )
ramspeed_scale_float                         140,6704 +- 0,0110 seconds time elapsed  ( +-  0,01% )
ramspeed_add_float                         140,6627 +- 0,0115 seconds time elapsed  ( +-  0,01% )
ramspeed_traid_float                         140,6672 +- 0,0208 seconds time elapsed  ( +-  0,01% )
botan_AES-256                          22,2499 +- 0,0216 seconds time elapsed  ( +-  0,10% )
botan_Blowfish                       20,1658202 +- 0,0000562 seconds time elapsed  ( +-  0,00% )
botan_CAST-256                        20,083378 +- 0,000187 seconds time elapsed  ( +-  0,00% )
botan_KASUMI                        20,055693 +- 0,000762 seconds time elapsed  ( +-  0,00% )
botan_Twofish                         20,20899 +- 0,00139 seconds time elapsed  ( +-  0,01% )
build-gcc                           350,95 +- 4,64 seconds time elapsed  ( +-  1,32% )
javascimark2                           25,836 +- 0,700 seconds time elapsed  ( +-  2,71% )
sunflow                           23,127 +- 0,157 seconds time elapsed  ( +-  0,68% )
sqlitebench                           134,28 +- 5,92 seconds time elapsed  ( +-  4,41% )
iozone_-s2096000                           91,104 +- 0,489 seconds time elapsed  ( +-  0,54% )
iozone_-s4096000                          231,545 +- 0,811 seconds time elapsed  ( +-  0,35% )
iozone_-s8126000                           670,40 +- 2,16 seconds time elapsed  ( +-  0,32% )
dbench_1                         720,2480 +- 0,0109 seconds time elapsed  ( +-  0,00% )
dbench_6                        720,27345 +- 0,00675 seconds time elapsed  ( +-  0,00% )
dbench_12                        720,27837 +- 0,00609 seconds time elapsed  ( +-  0,00% )
dbench_48                         720,4021 +- 0,0400 seconds time elapsed  ( +-  0,01% )
dbench_128                         720,7569 +- 0,0564 seconds time elapsed  ( +-  0,01% )
dbench_256                         721,1064 +- 0,0804 seconds time elapsed  ( +-  0,01% )
postmark                           112,05 +- 3,92 seconds time elapsed  ( +-  3,50% )
fs-mark_1000_Files_1MB_Size                          47,0426 +- 0,0989 seconds time elapsed  ( +-  0,21% )
fs-mark_5000_Files_1MB_Size_4_Threads                           396,97 +- 9,92 seconds time elapsed  ( +-  2,50% )
fs-mark_4000_Files_32_Sub_Dirs_1MB_Size                           153,69 +- 1,65 seconds time elapsed  ( +-  1,08% )
bork                           15,731 +- 0,697 seconds time elapsed  ( +-  4,43% )
ffmpeg                            5,971 +- 0,184 seconds time elapsed  ( +-  3,09% )
encode-mp3                          28,9560 +- 0,0573 seconds time elapsed  ( +-  0,20% )
graphics-magick_minify                           47,528 +- 0,346 seconds time elapsed  ( +-  0,73% )
graphics-magick_gaussian                           307,03 +- 3,89 seconds time elapsed  ( +-  1,27% )
graphics-magick_sharpen                           481,80 +- 2,06 seconds time elapsed  ( +-  0,43% )
graphics-magick_rotate                           194,06 +- 1,92 seconds time elapsed  ( +-  0,99% )
graphics-magick_resize                           71,078 +- 0,158 seconds time elapsed  ( +-  0,22% )
rocksdb_fillseq                           21,095 +- 0,176 seconds time elapsed  ( +-  0,84% )
rocksdb_fillrandom                           31,332 +- 0,261 seconds time elapsed  ( +-  0,83% )
rocksdb_readrandom                          24,5450 +- 0,0576 seconds time elapsed  ( +-  0,23% )
