Tasks	Stock	Meltdown	Spectre	MDS
cassandra_mixed_1_3	127.74	125.37	124.68	124.75
compilebench_initial_create	1806.72	1646.23	1586.68	1591.28
compilebench_compile	1663.13	1632.96	1595.88	1589.38
compilebench_read_compile_tree	1664.87	1638.58	1586.33	1598.78
smallpt	1325.73	1327.68	1326.64	1335.11
build-php	4403.27	4380.83	4366.82	4360.36
inkscape	556.19	551.50	552.89	550.68
rawtherapee	3969.25	3966.25	3925.07	3949.04
tjbench	560.94	560.39	558.39	559.16
darktable_masskrugNEF	498.70	499.57	496.05	495.06
darktable_benchSRW	1193.20	1193.82	1184.09	1191.66
darktable_server_roomNEF	400.81	400.75	399.14	399.24
rsvg	369.12	360.71	363.62	362.29
gegl_rotate-on-center	1178.44	1177.16	1170.50	1170.77
gegl_scale-size	175.07	176.63	172.51	171.01
gegl_antialias	1178.02	1179.98	1168.55	1166.47
gegl_cartoon	2817.30	2835.33	2780.63	2775.30
gegl_color-enhance	1483.50	1495.78	1459.58	1473.03
gegl_crop	241.89	244.93	237.58	239.63
gegl_wavelet-blur	1665.28	1678.19	1644.54	1640.11
gegl_reflect	791.55	799.52	786.59	792.20
gegl_tile-glass	852.97	858.75	842.22	839.43
renaissance_akka-uct	670.68	694.54	670.84	672.05
renaissance_reactors	842.19	834.91	853.62	823.88
renaissance_als	447.40	459.41	450.30	444.66
renaissance_naive-bayes	581.10	553.31	569.50	579.42
renaissance_page-rank	1386.91	1401.66	1390.85	1421.86
renaissance_db-shootout	596.71	614.45	598.91	585.55
renaissance_dotty	352.51	354.01	357.23	357.69
renaissance_finagle-chirper	402.16	397.80	395.84	401.97
java-jmh	22726.72	22941.85	22728.98	22865.53
schbench_2	868.01	868.46	860.66	867.80
schbench_4	1098.96	1099.98	1099.43	1099.68
schbench_8	1113.58	1113.81	1114.44	1113.96
osbench_create_files	659.20	631.85	593.70	622.52
osbench_create_processes	887.85	852.02	889.08	870.79
osbench_create_threads	588.07	549.33	574.74	550.26
osbench_launch_programs	584.33	553.31	576.13	546.74
osbench_mem_alloc	514.08	503.96	508.88	501.22
tiobench_write	1536.18	1513.35	1470.03	1523.00
tiobench_read	1678.87	1638.51	1673.31	1686.07
tiobench_random_write	2620.84	2587.98	2488.21	2547.30
tiobench_random_read	1597.87	1578.84	1627.25	1644.36
pybench	583.89	590.00	600.05	580.29
network-loopback	1488.20	1415.31	1365.79	1398.58
svt-vp9_tune_0	4272.83	4269.28	4266.64	4266.41
svt-vp9_tune_1	4251.99	4259.10	4250.58	4250.40
svt-vp9_tune_2	4260.86	4271.15	4254.01	4253.74
svt-hevc	1564.84	1587.04	1570.87	1578.94
tungsten_hair	3314.02	3319.77	3292.86	3301.75
tungsten_water-caustic	2134.64	2137.72	2124.29	2133.09
tungsten_non-exponential	827.18	831.60	821.13	823.08
tungsten_volumetric-caustic	1224.15	1229.58	1215.57	1218.47
ospray_san_miguel	2329.34	2320.23	2343.98	2337.27
